Name			Studentid	Sex	Level	Money_stu	Money_credit
Ma_PengZu		2012010177	male	four	417.36		3035.06	
Chen_Rui		2012010178	female	four	101.06		3345.63	
Liu_Chong		2012010179	male	four	26.75		3280.16	
Zhang_QiWei		2012010180	male	four	278.97		1550.42	
Tang_YunLu		2012010181	male	four	91.29		5051.19	
Ye_Yuan			2012010182	male	four	66.71		2433.45	
He_Qing			2012010183	female	four	354.91		1436.76	
Yang_WeiXuan		2012010184	female	four	54.93		4001.42	
Le_Hao			2012010185	female	four	240.47		1027.58	
Ying_HaoWei		2012010186	male	four	109.54		3616.59	
Kang_Bang		2012010187	male	four	104.14		5918.81	
Mu_TongGao		2012010188	male	four	271.88		6146.63	
Fu_ZhenHang		2012010189	male	four	254.29		2926.68	
Gao_YuanXiong		2012010190	male	four	126.21		3132.96	
Wu_Xi			2012010191	female	four	60.13		3196.14	
Fu_Yang			2012010192	male	three	81.45		2803.01	
Deng_YaoXu		2012010193	female	four	479.90		3939.29	
Lu_Heng			2012010194	female	four	266.10		2198.20	
Jiang_Yuan		2012010195	male	four	218.73		2438.32	
Cai_Can			2012010196	female	four	229.75		2991.79	
Chu_QiXuan		2012010197	female	four	121.95		5510.38	
Ying_Ze			2012010198	male	four	82.64		2458.57	
Cui_ZongLe		2012010199	male	four	233.40		5953.84	
Zhang_HeAn		2012010200	female	four	347.05		1346.45	
He_Hao			2012010201	male	four	198.94		1610.27	
Gong_Di			2012010202	female	four	398.23		4394.48	
Gao_Nan			2012010203	male	four	82.60		3234.02	
Wan_ZhiXian		2012010204	male	four	215.94		4676.13	
Luo_XiZheng		2012010205	female	four	207.53		5898.48	
Lin_Yao			2012010206	male	four	324.11		2548.63	
Yu_XianQuan		2012010207	male	four	412.67		1591.14	
Wang_ChongKun		2012010208	male	four	60.54		5402.89	
Wen_YaYu		2012010209	male	four	187.25		3709.20	
Shi_Fu			2012010210	male	four	349.13		4276.96	
Gao_Sheng		2012010211	male	four	373.08		2408.45	
Su_WeiCan		2012010212	female	four	9.30		1409.59	
Ren_ChuanYuan		2012010213	female	four	29.40		2110.88	
Xiao_Sheng		2012010214	male	three	36.49		3582.69	
Miao_Ting		2012010215	female	four	143.15		3185.89	
Liu_Tian		2012010216	male	four	252.59		2410.89	
Ren_Bang		2012010217	male	four	344.89		2460.81	
Wang_ZhenShao		2012010218	male	four	1.91		1794.63	
Zhang_Xian		2012010219	male	four	256.61		2233.86	
Wan_YueBing		2012010220	male	four	275.43		2726.43	
Wang_GongHan		2012010221	female	four	240.33		3266.98	
Ye_HanXing		2012010222	male	four	385.59		5677.64	
Gao_Xuan		2012010223	male	four	487.75		5653.81	
Hu_YuanHan		2012010224	male	four	0.73		4901.29	
Song_Shao		2012010225	male	four	308.10		2693.92	
Gu_Qi			2012010226	male	four	449.46		5961.55	
Lv_Shen			2012010227	male	four	404.61		5655.50	
Liu_YeXin		2012010228	female	four	103.57		4451.31	
Ding_Yu			2012010229	male	four	124.61		6270.06	
Cheng_ZhuGong		2012010230	male	four	419.41		5797.61	
Ren_Xuan		2012010231	female	four	330.42		2075.75	
Zhou_JianSheng		2012010232	male	four	468.25		1191.72	
Chu_Shu			2012010233	female	four	165.59		6475.05	
Qiao_Guang		2012010234	male	four	58.06		769.64	
Yan_LeZhen		2012010235	male	four	72.97		3588.58	
ZhuKe_YuanPeng		2012010236	male	four	160.35		5133.93	
Qin_DanShun		2012010237	male	four	328.58		1880.88	
Mu_Zhi			2012010238	male	four	456.07		5491.68	
Fan_HanYuan		2012010239	male	four	287.33		4391.90	
Zhao_Le			2012010240	male	four	407.11		2317.65	
Wu_Ya			2012010241	male	four	392.73		4657.03	
Cai_Yun			2012010242	male	four	117.44		2642.56	
Sui_WeiLong		2012010243	male	four	409.32		2700.92	
Shao_TingNi		2012010244	male	four	494.13		1956.94	
Qin_Yuan		2012010245	male	four	481.23		5674.10	
Su_QiZhu		2012010246	male	four	337.42		2006.80	
Le_Fang			2012010247	female	four	300.35		1890.24	
Song_RanCan		2012010248	male	four	61.11		5283.29	
Ma_Xin			2012010249	male	four	475.36		4724.06	
Guan_Da			2012010250	male	four	110.79		1468.67	
Jin_Min			2012010251	male	four	324.18		4654.08	
Luo_He			2012010252	male	four	11.76		3668.41	
Shi_Yao			2012010253	male	four	218.91		3658.21	
Liang_ChongHao		2012010254	male	four	270.85		5699.09	
Ying_Wang		2012010255	female	four	105.15		1845.81	
Mei_YuQian		2012010256	male	four	283.66		3658.25	
Jin_Shu			2012010257	male	four	175.41		4118.39	
Wu_YuLi			2012010258	male	four	150.90		1326.46	
Jia_LiDa		2012010259	male	four	289.66		3717.36	
Guan_Chu		2012010260	female	four	26.14		2231.94	
Zeng_NanTong		2012010261	male	three	14.56		6215.66	
Wu_Min			2012010262	male	four	86.66		966.77	
Chang_Shen		2012010263	male	four	307.15		3750.79	
Hu_Wen			2012010264	male	four	452.47		2000.38	
Xiao_Min		2012010265	female	four	303.73		5134.67	
Kang_XianHuan		2012010266	female	four	30.66		3910.76	
Gong_XuZhou		2012010267	female	four	327.56		3146.66	
Wen_ZheXu		2012010268	male	four	384.30		5643.69	
Wen_XingYi		2012010269	female	four	187.32		1681.87	
Xu_GongYi		2012010270	male	four	122.69		5810.63	
Su_Zhen			2012010271	female	four	144.03		4251.28	
Jiang_ChuanShu		2012010272	male	four	141.99		4150.49	
Shao_AnYe		2012010273	female	four	241.82		2021.57	
Cai_Hang		2012010274	female	four	394.51		6161.77	
Kang_NanHan		2012010275	male	four	443.74		1959.08	
Xu_Hao			2012010276	male	four	267.72		4562.30	
He_Wen			2012010277	male	four	221.46		1481.85	
ZhuKe_GuoQu		2012010278	female	four	87.16		3895.91	
Yu_YaoShao		2012010279	male	four	224.81		738.46	
Long_Zheng		2012010280	female	four	222.43		3381.89	
Song_Shao		2012010281	male	four	202.25		2048.68	
Tang_Zu			2012010282	male	four	266.98		4760.14	
Lin_LiuMing		2012010283	male	four	56.96		3489.25	
Shao_TianTian		2012010284	male	four	485.46		1593.27	
Zhang_Jian		2012010285	male	four	338.42		5270.95	
Hua_LongHan		2012010286	female	four	147.24		4381.98	
Pan_Zhu			2012010287	female	four	167.08		1765.93	
Pan_XiShao		2012010288	female	four	190.54		4859.03	
Fan_YuanBing		2012010289	male	four	58.67		5792.11	
Shao_Lin		2012010290	male	four	165.47		1273.00	
Xu_DanZhen		2012010291	female	four	492.41		1019.97	
Wan_FuTian		2012010292	male	four	477.97		994.22	
Gong_Liu		2012010293	female	four	6.51		4801.21	
Jin_QingXiong		2012010294	male	four	21.13		1572.72	
Shao_BoSheng		2012010295	male	four	348.16		2662.50	
Chu_WeiTian		2012010296	male	four	306.05		3385.16	
Zhang_Long		2012010297	female	four	220.29		3207.26	
Ye_LuCan		2012010298	male	four	340.95		532.80	
Zhou_Xiang		2012010299	male	four	51.60		701.65	
Shi_Zu			2012010300	male	four	302.64		2535.06	
Guan_Shen		2012010301	female	four	19.21		4830.50	
Jia_XingYue		2012010302	male	four	148.08		4598.07	
Chu_Yu			2012010303	male	four	108.35		5395.07	
Pan_Zhen		2012010304	male	four	50.93		1567.78	
Ren_Tong		2012010305	male	four	8.50		3546.10	
Lin_Min			2012010306	female	four	115.56		5825.71	
Qin_Qu			2012010307	male	four	234.70		3158.86	
Hu_KunXing		2012010308	male	four	367.34		4882.41	
Kang_Yuan		2012010309	female	four	146.12		2824.91	
Qin_Yun			2012010310	female	four	284.54		2553.24	
Long_Huan		2012010311	male	four	384.92		2384.37	
Gao_ZheNan		2012010312	male	four	123.86		1818.57	
Shi_HaoPing		2012010313	male	four	122.89		3544.70	
Xiao_Tong		2012010314	female	four	141.85		5732.85	
Liu_ChongPing		2012010315	female	four	348.40		6160.04	
Le_NanXin		2012010316	female	four	371.75		1836.64	
Kang_Dan		2012010317	female	four	256.16		5035.33	
Shi_Ting		2012010318	female	four	138.61		2138.03	
Dai_Qi			2012010319	male	four	68.42		5821.72	
He_Ni			2012010320	male	four	223.27		2662.72	
Yao_FangXuan		2012010321	female	four	158.25		1596.71	
Chu_Jing		2012010322	female	four	263.66		6470.21	
ZhuKe_Shao		2012010323	male	four	287.24		6221.61	
Gu_Min			2012010324	male	four	191.79		5014.97	
Yao_Yi			2012010325	male	four	374.99		1972.85	
Gao_Qu			2012010326	female	four	306.68		5829.65	
Chu_Tao			2012010327	female	four	197.01		4752.22	
Cheng_Xiong		2012010328	female	four	413.38		3082.62	
Song_BoWei		2012010329	male	four	316.29		4500.53	
Guan_Tong		2012010330	female	four	96.23		1859.75	
Chen_Zhu		2012010331	male	four	230.97		4871.16	
Ding_YaoShen		2012010332	female	four	75.43		4383.65	
Qiao_HaoZhu		2012010333	female	four	144.45		1079.66	
Kang_YaoTao		2012010334	male	four	482.37		5961.07	
Jiang_Zhong		2012010335	female	four	135.56		6041.54	
Lin_KunWuo		2012010336	male	four	384.99		4445.17	
Zou_Ni			2012010337	male	four	18.80		5832.73	
Shi_Han			2012010338	male	four	421.72		1902.85	
Hu_Song			2012010339	female	four	448.27		3094.81	
Gong_XiuSi		2012010340	female	four	354.76		1881.36	
Qiao_KaiJun		2012010341	male	four	145.98		1115.77	
Yang_FangHang		2012010342	male	four	77.62		3861.20	
Zeng_XingHan		2012010343	male	four	235.96		2267.05	
Chen_ZiDan		2012010344	female	four	122.95		1245.83	
Yao_Ze			2012010345	male	four	54.56		1214.82	
Wang_WeiMin		2012010346	male	four	362.05		2747.88	
Mei_Mao			2012010347	male	four	58.33		3112.48	
Ye_Da			2012010348	male	four	21.21		4271.05	
Zhao_ShunFei		2012010349	male	four	225.50		6041.65	
Luo_FuWen		2012010350	female	four	71.69		6107.25	
Zhao_QingZhu		2012010351	male	four	423.71		3950.55	
Zhao_Ya			2012010352	female	four	345.32		1843.14	
Zou_GongZhen		2012010353	male	four	185.41		4445.87	
Jia_YaoGao		2012010354	male	four	429.84		5637.26	
Yang_LinQing		2012010355	male	four	451.77		3900.84	
ZhuKe_Ting		2012010356	male	four	244.50		5069.89	
Song_Kai		2012010357	male	four	328.29		6059.55	
Liu_ChenZi		2012010358	female	four	297.53		5058.63	
Le_SiWen		2012010359	male	four	361.25		3149.24	
Ma_XiuNan		2012010360	male	four	297.60		5709.20	
Fan_Xuan		2012010361	male	four	52.03		583.94	
Wen_Chong		2012010362	female	four	479.28		4418.91	
Zhang_Xi		2012010363	male	four	60.77		1731.91	
Jiang_YuXuan		2012010364	female	four	5.26		5144.55	
Long_Jing		2012010365	male	four	258.35		858.95	
Zhou_Zong		2012010366	male	four	247.28		2434.71	
ZhuKe_Xiong		2012010367	male	four	491.65		2584.40	
Ding_RanLu		2012010368	male	four	245.24		2767.44	
Xiao_Ni			2012010369	male	four	132.24		1531.63	
Dai_QiChen		2012010370	male	four	23.80		5368.89	
Lu_ZhiXian		2012010371	female	four	297.61		4009.55	
Hu_YuXiu		2012010372	male	four	102.90		4387.13	
Dai_YuHao		2012010373	male	four	135.67		2845.50	
Le_ZhongJiao		2012010374	male	four	122.63		6068.34	
Dai_Li			2012010375	male	four	133.75		4844.98	
Fu_DaXiang		2012010376	male	four	103.72		4016.23	
Dai_An			2012010377	male	four	434.61		4805.59	
Wan_Shu			2012010378	female	four	296.07		3240.37	
Cai_PingShen		2012010379	female	four	98.99		1320.47	
Jin_ZeQi		2012010380	male	four	141.99		3792.85	
Song_GongHan		2012010381	male	four	73.22		4715.80	
Jin_YaoLin		2012010382	male	four	36.48		1521.06	
Wen_Xian		2012010383	male	four	79.80		2417.94	
Tang_Xuan		2012010384	male	four	79.58		4318.96	
Deng_XiangQian		2012010385	female	four	218.79		3502.63	
Wang_Rui		2012010386	male	four	446.07		3643.12	
Ren_WeiGuang		2012010387	male	four	292.73		4860.04	
Zhang_Han		2012010388	male	four	280.86		4222.42	
Lu_HeLei		2012010389	male	four	252.89		4156.34	
Yu_Ni			2012010390	male	four	296.50		5295.70	
Chu_Yi			2012010391	female	four	493.02		1110.28	
Long_Zhi		2012010392	male	four	257.25		5585.83	
Yang_LeiYou		2012010393	female	four	126.03		4395.75	
Gong_GaoZheng		2012010394	male	four	441.95		5562.64	
Ma_Zhi			2012010395	male	four	425.25		2331.62	
Yu_Xiang		2012010396	male	four	162.97		691.56	
Dai_Shu			2012010397	male	four	404.70		4414.13	
Yang_ZheTian		2012010398	female	four	301.12		1979.45	
Jia_Ling		2012010399	male	four	50.15		6181.19	
Chu_YunXian		2012010400	male	four	287.18		4248.61	
Guan_Kun		2012010401	male	four	465.64		4681.27	
Wang_Qi			2012010402	male	four	293.06		2598.59	
Shi_XuanQi		2012010403	male	four	356.81		3014.23	
Ying_ZhiSong		2012010404	male	four	448.34		2424.95	
He_Tian			2012010405	male	four	53.16		4000.71	
Yan_Zhong		2012010406	female	four	62.80		4715.46	
Xiao_WeiNi		2012010407	male	four	73.29		5119.16	
Qin_Xin			2012010408	male	four	178.52		2681.15	
Yang_Xing		2012010409	male	four	298.39		6428.40	
Mei_HaoYun		2012010410	female	four	57.11		3244.66	
Shao_GuoGao		2012010411	male	four	153.88		4878.55	
Zou_Yun			2012010412	female	four	169.15		5365.12	
Le_Zu			2012010413	male	four	118.42		3435.84	
Ren_Sheng		2012010414	male	four	174.96		2924.48	
Yu_Can			2012010415	male	four	332.56		2714.56	
Cheng_Can		2012010416	male	four	306.60		6453.65	
Liu_Rui			2012010417	female	four	278.21		3546.72	
Dai_LingHe		2012010418	female	four	131.84		2483.51	
He_YiWen		2012010419	female	four	393.27		1071.72	
Ren_Yun			2012010420	female	four	96.94		5634.02	
Qin_PengTing		2012010421	male	four	471.83		942.86	
Ding_Xin		2012010422	female	four	404.56		3276.30	
Kang_YouXin		2012010423	female	four	259.70		1294.95	
Wen_Lu			2012010424	female	four	257.40		2605.25	
Cai_Wen			2012010425	female	four	309.39		1886.62	
Ma_Han			2012010426	male	four	215.74		3356.38	
Pan_Ye			2012010427	male	four	179.15		6013.56	
Ma_Zheng		2012010428	female	four	342.16		3376.00	
Chen_Fang		2012010429	male	four	36.96		1247.64	
Ma_GongChong		2012010430	female	four	397.80		2290.07	
Shi_Guang		2012010431	male	four	153.16		1637.37	
Song_Fu			2012010432	female	four	102.85		3362.69	
Jiang_ChongZhu		2012010433	female	four	457.47		6433.38	
Xiao_Fang		2012010434	male	four	59.49		6011.01	
Sui_Di			2012010435	female	four	467.32		583.40	
Ma_Li			2012010436	female	four	174.31		5362.23	
Chu_MinShu		2012010437	female	four	330.89		856.42	
Yang_Si			2012010438	male	four	182.35		4053.74	
Hua_DaZhi		2012010439	male	four	277.48		5167.39	
Wu_QianFan		2012010440	male	four	375.81		4400.32	
Fan_Tao			2012010441	male	three	143.63		2840.88	
Lv_Xiu			2012010442	male	four	205.09		3693.57	
Ye_Chuan		2012010443	female	four	143.61		4945.72	
Gao_FanKai		2012010444	male	four	326.40		3174.81	
Gao_ZheHao		2012010445	female	four	477.01		912.71	
Gong_Hang		2012010446	male	four	179.08		3537.39	
Wang_TianYuan		2012010447	male	four	166.97		3126.03	
Kang_Fei		2012010448	male	four	303.86		2410.36	
Shi_QiNan		2012010449	male	four	106.43		1164.62	
Shao_Qi			2012010450	male	four	442.61		6345.06	
Zhou_ShengTao		2012010451	male	four	362.34		2031.05	
Wu_TongWen		2012010452	male	four	462.65		1283.75	
Jin_QuanXiu		2012010453	female	four	446.48		6132.92	
Chen_WenGong		2012010454	female	four	257.34		2757.74	
Qiao_LiXiang		2012010455	male	four	166.06		5911.26	
Xiao_KunTao		2012010456	female	four	484.94		1356.30	
Ye_RuiLiu		2012010457	male	four	3.90		6094.41	
Le_Yue			2012010458	male	four	491.16		3205.21	
Liu_Xu			2012010459	male	four	429.03		2398.79	
Guan_ZongTing		2012010460	male	four	370.71		3669.05	
Deng_ZhenJie		2012010461	male	four	35.97		673.93	
Qiao_QiLi		2012010462	female	four	488.35		712.97	
Gao_Qing		2012010463	male	four	364.86		4806.19	
Ren_Can			2012010464	male	four	218.48		5970.89	
Du_Jun			2012010465	male	four	37.37		1794.73	
Cui_Kun			2012010466	female	four	408.01		1095.92	
Chang_Dong		2012010467	male	four	336.40		2772.62	
Ying_SiDa		2012010468	male	four	197.21		3848.50	
Deng_Tian		2012010469	male	four	53.44		4935.62	
Chang_Zhe		2012010470	female	four	104.33		1211.97	
Tang_Jiao		2012010471	male	four	322.50		2277.04	
Zhang_Han		2012010472	male	four	381.22		4290.36	
Du_ChuTian		2012010473	female	four	231.16		2266.84	
Dai_MaoWuo		2012010474	male	four	234.57		1715.14	
Shi_TianYuan		2012010475	female	four	152.58		6492.97	
Shi_Kai			2012010476	female	four	485.34		1581.15	
Shi_GuangXiong		2012010477	female	four	385.20		2511.27	
Hua_Zong		2012010478	male	four	325.95		2874.89	
Su_Ming			2012010479	female	four	308.35		1769.34	
Lin_Yun			2012010480	male	four	387.15		4410.55	
Wan_Gan			2012010481	male	four	42.12		688.66	
Lv_Han			2012010482	male	four	490.34		1113.40	
Chang_He		2012010483	male	four	477.10		3135.53	
Lin_Yang		2012010484	male	four	431.83		3553.99	
Ying_Fan		2012010485	female	four	254.06		1994.00	
Gao_FangShen		2012010486	male	four	20.60		1348.54	
Fu_JianSi		2012010487	male	four	424.09		2980.41	
Hu_Zong			2012010488	male	four	58.58		2708.81	
Wen_CanXing		2012010489	male	four	361.37		713.90	
Shi_Yao			2012010490	female	four	419.41		3274.92	
Wen_YueBang		2012010491	male	four	63.44		1544.23	
Deng_An			2012010492	male	four	130.71		3888.58	
Xu_HanXin		2012010493	female	four	299.90		6288.33	
Jia_Yao			2012010494	male	four	362.66		6215.75	
Jin_Li			2012010495	male	four	9.50		3385.24	
Shao_ShengJun		2012010496	female	four	332.82		1331.25	
Wang_ZhenYu		2012010497	male	four	63.63		6242.02	
Fu_Qi			2012010498	female	four	139.56		2515.18	
Gao_XiongRan		2012010499	female	four	297.45		2207.04	
Hua_Shun		2012010500	female	four	400.63		2954.71	
Gao_GaoTian		2012010501	male	four	261.37		3050.64	
Tang_MinSong		2012010502	female	four	143.78		5586.80	
